"regine" "main" "date" "FGP" "flood.1" "threshold" "station" "year"
"91" 2 11 "1931-05-17" NA 26.782251 13.5700218 "2.11" "1931"
"92" 2 11 "1931-05-25" NA 19.964977 13.5700218 "2.11" "1931"
"93" 2 11 "1932-05-19" NA 38.28981 13.5700218 "2.11" "1932"
"94" 2 11 "1932-05-30" NA 21.47777 13.5700218 "2.11" "1932"
"95" 2 11 "1934-05-06" NA 67.440529 13.5700218 "2.11" "1934"
"96" 2 11 "1935-05-29" NA 14.298803 13.5700218 "2.11" "1935"
"97" 2 11 "1935-06-08" NA 15.676043 13.5700218 "2.11" "1935"
"98" 2 11 "1935-06-17" NA 21.61853 13.5700218 "2.11" "1935"
"99" 2 11 "1936-05-18" NA 22.243795 13.5700218 "2.11" "1936"
"100" 2 11 "1937-05-06" NA 15.94155 13.5700218 "2.11" "1937"
"101" 2 11 "1938-05-17" NA 29.467157 13.5700218 "2.11" "1938"
"102" 2 11 "1938-05-30" NA 16.727625 13.5700218 "2.11" "1938"
"103" 2 11 "1939-05-26" NA 21.309895 13.5700218 "2.11" "1939"
"104" 2 11 "1939-06-19" NA 14.840838 13.5700218 "2.11" "1939"
"105" 2 11 "1939-07-03" NA 14.298803 13.5700218 "2.11" "1939"
"106" 2 11 "1940-08-24" NA 24.184101 13.5700218 "2.11" "1940"
"107" 2 11 "1941-05-25" NA 24.184101 13.5700218 "2.11" "1941"
"108" 2 11 "1942-05-29" NA 16.727625 13.5700218 "2.11" "1942"
"109" 2 11 "1943-05-15" NA 16.727625 13.5700218 "2.11" "1943"
"110" 2 11 "1943-05-24" NA 14.840838 13.5700218 "2.11" "1943"
"111" 2 11 "1944-05-31" NA 17.264317 13.5700218 "2.11" "1944"
"112" 2 11 "1944-06-10" NA 33.341618 13.5700218 "2.11" "1944"
"113" 2 11 "1945-05-15" NA 29.841743 13.5700218 "2.11" "1945"
"114" 2 11 "1945-05-31" NA 25.875828 13.5700218 "2.11" "1945"
"115" 2 11 "1946-05-03" NA 14.298803 13.5700218 "2.11" "1946"
"116" 2 11 "1947-05-14" NA 43.365311 13.5700218 "2.11" "1947"
"117" 2 11 "1948-05-11" NA 20.700584 13.5700218 "2.11" "1948"
